SMILES descriptor 1,SMILES descriptor 2,Anion Smiles,log Li:functional group,Comonomer percentage,approxMW(kDa),approxTg,chain architecture,Comonomer 1 CIC1,Comonomer 1 JGI8,Comonomer 1 MQNs_16,Comonomer 1 NumAromaticRings,Comonomer 1 PubchemFP145,Comonomer 1 PubchemFP15,Comonomer 1 PubchemFP178,Comonomer 1 PubchemFP299,Comonomer 1 PubchemFP33,Comonomer 1 PubchemFP340,Comonomer 1 PubchemFP367,Comonomer 1 PubchemFP370,Comonomer 1 PubchemFP375,Comonomer 1 PubchemFP434,Comonomer 1 PubchemFP528,Comonomer 1 PubchemFP582,Comonomer 1 PubchemFP613,Comonomer 1 PubchemFP643,Comonomer 1 PubchemFP680,Comonomer 1 PubchemFP693,Comonomer 1 PubchemFP696,Comonomer 1 RDF120u,Comonomer 1 RDF130m,Comonomer 1 RDF65u,Comonomer 1 RDF95m,Comonomer 1 RDF95u,Comonomer 1 SMR_VSA10,Comonomer 1 SMR_VSA7,Comonomer 1 SlogP_VSA12,Comonomer 1 SlogP_VSA6,Comonomer 1 fr_aryl_methyl,Comonomer 1 qed,Comonomer 2 AVP-0,Comonomer 2 GATS3m,Comonomer 2 GATS5v,Comonomer 2 MATS3s,Comonomer 2 MATS4c,Comonomer 2 MQNs_16,Comonomer 2 MQNs_5,Comonomer 2 NumAromaticCarbocycles,Comonomer 2 NumAromaticRings,Comonomer 2 PubchemFP12,Comonomer 2 PubchemFP13,Comonomer 2 PubchemFP148,Comonomer 2 PubchemFP15,Comonomer 2 PubchemFP178,Comonomer 2 PubchemFP299,Comonomer 2 PubchemFP3,Comonomer 2 PubchemFP33,Comonomer 2 PubchemFP370,Comonomer 2 PubchemFP375,Comonomer 2 PubchemFP376,Comonomer 2 PubchemFP439,Comonomer 2 PubchemFP528,Comonomer 2 PubchemFP586,Comonomer 2 PubchemFP613,Comonomer 2 PubchemFP614,Comonomer 2 PubchemFP656,Comonomer 2 PubchemFP680,Comonomer 2 PubchemFP688,Comonomer 2 PubchemFP696,Comonomer 2 RDF100m,Comonomer 2 SMR_VSA7,Comonomer 2 SlogP_VSA10,Comonomer 2 SlogP_VSA12,Comonomer 2 SlogP_VSA6,Comonomer 2 TDB10s,Comonomer 2 VSA_EState10,Comonomer 2 fr_aryl_methyl,drying vacuum,logCond60
*CCOC(=O)O*,*CCO*,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.125997263,95.2,37.0,-3.0,S_1,1.625814584,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.02e-12,0.0,0.0,6.15536563,0.0,0.0,0.0,0,0.403686926,0.80274943,1.538441841,0.0,-0.375,0.147662732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-5.72
*CCOC(=O)O*,*CCO*,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.70002853,95.2,37.0,-20.0,S_1,1.625814584,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.02e-12,0.0,0.0,6.15536563,0.0,0.0,0.0,0,0.403686926,0.80274943,1.538441841,0.0,-0.375,0.147662732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-5.19
*CCOC(=O)O*,*CCO*,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.347846012,95.2,37.0,-33.0,S_1,1.625814584,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.02e-12,0.0,0.0,6.15536563,0.0,0.0,0.0,0,0.403686926,0.80274943,1.538441841,0.0,-0.375,0.147662732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-4.81
*CCOC(=O)O*,*CCO*,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.07812272,95.2,37.0,-62.0,S_1,1.625814584,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.02e-12,0.0,0.0,6.15536563,0.0,0.0,0.0,0,0.403686926,0.80274943,1.538441841,0.0,-0.375,0.147662732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-4.25
*CCOC(=O)O*,*CCO*,C(F)(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,-1.255938537,95.2,37.0,-14.0,S_1,1.625814584,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.02e-12,0.0,0.0,6.15536563,0.0,0.0,0.0,0,0.403686926,0.80274943,1.538441841,0.0,-0.375,0.147662732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-5.56
*CCOC(=O)O*,*CCO*,C(F)(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,-0.829969805,95.2,37.0,-20.0,S_1,1.625814584,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.02e-12,0.0,0.0,6.15536563,0.0,0.0,0.0,0,0.403686926,0.80274943,1.538441841,0.0,-0.375,0.147662732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-5.33
*CCOC(=O)O*,*CCO*,C(F)(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,-0.477787287,95.2,37.0,-33.0,S_1,1.625814584,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.02e-12,0.0,0.0,6.15536563,0.0,0.0,0.0,0,0.403686926,0.80274943,1.538441841,0.0,-0.375,0.147662732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-5.23
*CCOC(=O)O*,*CCO*,C(F)(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,-0.051818555,95.2,37.0,-39.0,S_1,1.625814584,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.02e-12,0.0,0.0,6.15536563,0.0,0.0,0.0,0,0.403686926,0.80274943,1.538441841,0.0,-0.375,0.147662732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-4.88
*CCOC(=O)O*,*CCO*,[B-](F)(F)(F)F,-0.758139627,95.2,37.0,-23.0,S_1,1.625814584,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.02e-12,0.0,0.0,6.15536563,0.0,0.0,0.0,0,0.403686926,0.80274943,1.538441841,0.0,-0.375,0.147662732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-6.51
*CCOC(=O)O*,*CCO*,[B-](F)(F)(F)F,-0.448154789,95.2,37.0,-29.0,S_1,1.625814584,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.02e-12,0.0,0.0,6.15536563,0.0,0.0,0.0,0,0.403686926,0.80274943,1.538441841,0.0,-0.375,0.147662732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-5.24
