SMILES descriptor 1,logCond60
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.07$95.2$37.0$-3$S_1,-5.72
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.2$95.2$37.0$-20$S_1,-5.19
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.45$95.2$37.0$-33$S_1,-4.81
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$1.2$95.2$37.0$-62$S_1,-4.25
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F$0.06$95.2$37.0$-14$S_1,-5.56
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F$0.15$95.2$37.0$-20$S_1,-5.33
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F$0.33$95.2$37.0$-33$S_1,-5.23
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F$0.89$95.2$37.0$-39$S_1,-4.88
*COC(=O)OC*.*CCO*$F[B-](F)(F)F$0.17$95.2$37.0$-23$S_1,-6.51
*COC(=O)OC*.*CCO*$F[B-](F)(F)F$0.36$95.2$37.0$-29$S_1,-5.24
*COC(=O)OC*.*CCO*$F[B-](F)(F)F$0.54$95.2$37.0$-47$S_1,-5.08
*COC(=O)OC*.*CCO*$F[B-](F)(F)F$0.73$95.2$37.0$-69$S_1,-4.34
*COC(=O)OC*.*CCO*$[O-][Cl+3]([O-])([O-])[O-]$0.2$95.2$37.0$-8$S_1,-5.3
*COC(=O)OC*.*CCO*$[O-][Cl+3]([O-])([O-])[O-]$0.54$95.2$37.0$-28$S_1,-5.1
*COC(=O)OC*.*CCO*$[O-][Cl+3]([O-])([O-])[O-]$1.21$95.2$37.0$-1$S_1,-5.64
*COC(=O)OC*.*CCO*$[O-][Cl+3]([O-])([O-])[O-]$3.23$95.2$37.0$2$S_1,-6.57
*COC(=O)OC*.*CCO*$O=S(=O)([O-])C(F)(F)F$0.14$95.2$37.0$-7$S_1,-5.8
*COC(=O)OC*.*CCO*$O=S(=O)([O-])C(F)(F)F$0.37$95.2$37.0$-16$S_1,-5.2
*COC(=O)OC*.*CCO*$O=S(=O)([O-])C(F)(F)F$0.83$95.2$37.0$-7$S_1,-6.7
*COC(=O)OC(*)COCCCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.1$100.0$20.0$-24$S_1,-4.038483989
*COC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.2$100.0$50.0$34$S_1,-3.73196055
*COC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.4$100.0$50.0$31$S_1,-3.73196055
*COC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.6$100.0$50.0$29$S_1,-3.115244274
*COC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.8$100.0$50.0$25$S_1,-2.757906016
*CC(*)C#N.*CC(*)C(=O)OCCCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$1.2$67.0$65.0$-22$S_1,-4.6409
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.1$100.0$17.0$-20$S_1,-5.946921557
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.25$100.0$17.0$-20$S_1,-5.37675071
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.5$100.0$17.0$-20$S_1,-4.246416941
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$1.0$100.0$17.0$-20$S_1,-4.033389013
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$2.0$100.0$17.0$-20$S_1,-3.675717545
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$4.0$100.0$17.0$-15$S_1,-3.68613278
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.1$100.0$17.0$-15$S_1,-6.136082623
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.3$100.0$17.0$-15$S_1,-6.136082623
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.5$100.0$17.0$-20$S_1,-6.449771647
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.7$100.0$17.0$-15$S_1,-6.504455662
