smiles,BalabanJ,Chi0,Chi1n,Chi1v,Chi4n,EState_VSA1,EState_VSA2,EState_VSA9,FpDensityMorgan1,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,Kappa3,MinAbsEStateIndex,MolLogP,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumHAcceptors,NumHDonors,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,PEOE_VSA1,PEOE_VSA2,PEOE_VSA8,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState6,VSA_EState8,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_COO,fr_COO2,fr_C_O_noCOO,fr_C_S,fr_alkyl_halide,fr_bicyclic,fr_diazo,fr_ester,fr_ether,fr_imide,fr_ketone,fr_ketone_Topliss,fr_nitrile,fr_nitro,fr_oxazole,fr_para_hydroxylation,fr_piperzine,fr_quatN,fr_thiophene,fr_unbrch_alkane,Eea,Egb,Egc,Ei
*CC(*)C,2.5395388613593908,4.284457050376173,0.9855985596534889,0.9855985596534889,0.0,0.0,0.0,0.0,3.0,3.3333333333333335,1.0,0.0,3,0.0,0.75,1.3117,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.268296022307258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,13.344558822616634,1.525462962962963,0.0,0.0,0.0,0.0,4.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4343,7.6997,6.5196,6.185
*CC(*)F,2.5395388613593908,4.284457050376173,0.6264661806998554,0.6264661806998554,0.0,0.0,6.674590972274908,0.0,3.0,3.3333333333333335,1.0,-0.07,3,0.0025388601036269317,0.08333333333333337,0.7988999999999999,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,4.39041504767482,0.0,0.0,0.0,13.598328171965532,0.0,0.0,0.0,0.0,4.39041504767482,6.674590972274908,0.0,0.0,0.0,6.923737199690624,12.087962962962964,0.0,0.0,0.0,0.0,0.7453703703703702,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874,8.3099,7.6225,7.6332
*CC(*)(F)F,3.168489872670569,5.207106781186548,0.731517863602501,0.731517863602501,0.0,6.425444744859191,0.0,0.0,2.25,2.5,1.0,-0.14,4,0.1681813291603501,0.02777777777777768,1.0961,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,8.78083009534964,0.0,0.0,0.0,13.349181944549816,0.0,0.0,0.0,0.0,8.78083009534964,6.425444744859191,0.0,0.0,0.0,6.923737199690624,22.54861111111111,0.0,0.0,0.0,0.0,0.29861111111111116,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1415,-99.0,7.1498,8.1531
*C(F)C(*)(F)F,3.541196965079901,6.077350269189626,0.8848574978400325,0.8848574978400325,0.0,13.100035717134098,0.0,0.0,2.0,2.2,1.0,-0.21000000000000002,5,0.3622331099119738,0.7638888888888888,0.9734,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,13.171245143024459,0.0,0.0,0.0,13.100035717134098,0.0,0.0,0.0,0.0,13.171245143024459,13.100035717134098,0.0,0.0,0.0,0.0,33.0625,0.0,0.0,0.0,0.0,-1.6736111111111118,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.524,6.8451,7.6787,8.5986
*CCC(F)(F)C(*)(F)F,4.101783752547981,8.414213562373096,1.8594823366117281,1.8594823366117281,0.09449111825230677,18.76879553587978,0.0,0.0,1.375,2.0,1.0,-0.28,8,0.787600174043748,0.15506944444444448,2.1215,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,17.56166019069928,0.0,0.0,0.0,25.692532735570403,0.0,0.0,0.0,0.0,17.56166019069928,12.347973912953767,0.0,0.0,6.4208216229260096,6.923737199690624,46.99173611111111,0.0,0.0,0.0,0.0,0.3559027777777777,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4489,9.1316,8.6882,9.0178
*CO*,1.9747448713915894,3.414213562373095,0.2886751345948129,0.2886751345948129,0.0,0.0,0.0,5.106527394840706,3.5,4.0,1.0,-0.04,2,-0.0469444444444445,0.3194444444444444,-0.02589999999999998,0,1,0,0,0,1,0,1,0,0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,7.109797541277533,5.106527394840706,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,4.902777777777778,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9897,8.7732,6.6048,7.5826
*CCO*,2.19060968716425,4.121320343559642,0.7886751345948129,0.7886751345948129,0.0,0.0,0.0,5.106527394840706,2.6666666666666665,3.6666666666666665,1.0,-0.04,3,0.0008163265306122464,0.2881944444444444,0.4349,0,1,0,0,0,1,0,2,0,0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,0.0,0.0,0.0,6.606881964512918,5.106527394840706,0.0,0.0,6.923737199690624,0.9513888888888888,0.0,0.0,5.003472222222222,0.0,2.545138888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3936,6.2206,5.5372,7.0344
*CC(O*)C(F)(F)F,3.792907831779043,7.49156383156272,1.4995723949680329,1.4995723949680329,0.0,12.280264905191778,6.923737199690624,0.0,1.8571428571428572,2.4285714285714284,1.0,-0.25,7,0.8505917159763313,0.17391203703703706,1.3658000000000001,0,1,0,0,0,1,0,2,0,0,0.0,0.0,0.0,18.277772537865165,0.0,0.0,0.0,19.204002104882402,0.0,0.0,0.0,0.0,13.171245143024459,12.280264905191778,5.106527394840706,0.0,0.0,6.923737199690624,34.30439814814815,0.0,0.0,4.451388888888889,0.0,0.2847222222222223,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7546,7.4158,6.7566,7.9431
*CCCO*,2.3390923149762908,4.82842712474619,1.2886751345948126,1.2886751345948126,0.0,0.0,0.0,5.106527394840706,2.25,3.5,1.0,-0.04,4,0.20616508400292186,0.2681944444444444,0.825,0,1,0,0,0,1,0,3,0,0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,13.344558822616634,6.606881964512918,0.0,0.0,0.0,0.0,6.606881964512918,5.106527394840706,0.0,6.4208216229260096,6.923737199690624,0.9563888888888888,0.0,0.0,5.072222222222222,0.0,2.606805555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5672,7.4889,6.2459,6.904
*Oc1ccc(Cc2ccc(*)cc2)cc1,2.1088517120273824,11.380468888623982,4.553965336510317,4.553965336510317,1.3822705646124973,0.0,0.0,5.106527394840706,0.9285714285714286,2.0714285714285716,0.07692307692307693,-1.7599999999999998,14,1.4879168708950103,0.006585659210117889,2.2951000000000006,0,1,0,0,2,1,0,3,0,0,0.0,0.0,0.0,5.106527394840706,6.06636706846161,0.0,0.0,6.4208216229260096,0.0,59.65783953108687,5.749511833283905,11.172894463302317,0.0,0.0,6.4208216229260096,0.0,11.126902983393991,0.0,0.35526659087265133,0.0,0.0,5.393377048937114,19.105419096395828,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1795,4.3787,4.9481,6.1428
*CCCCCOCO*,2.6476048489438337,7.6568542494923815,2.866025403784439,2.866025403784439,0.43982640562744724,0.0,0.0,9.843390348640755,1.375,3.125,1.0,-0.08,8,2.9925383407397503,0.10511613441672962,1.5793,0,2,0,0,0,2,0,7,0,0,0.0,0.0,0.0,9.843390348640755,0.0,0.0,0.0,26.186202068468653,13.399824270612745,0.0,0.0,0.0,0.0,13.399824270612745,9.843390348640755,0.0,19.26246486877803,6.923737199690624,5.959772770219199,0.0,0.0,4.988486079617032,0.0,3.0166242283950613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.5413,6.8354,6.5668,6.9158
*CCOC(=O)NCCOCCOCCNC(=O)O*,3.130180123606886,15.054195474990921,5.466979035088339,5.466979035088339,0.9162277998576254,0.0,12.18648014187683,14.210588861400147,0.9444444444444444,2.111111111111111,0.8,-1.54,18,8.59349708513913,0.30862812443582155,-0.0960999999999998,2,8,0,0,0,6,2,11,0,0,0.0,0.0,0.0,28.906190624384493,12.18648014187683,10.633577208012662,0.0,6.923737199690624,46.123922634389736,0.0,0.0,10.633577208012662,9.589074368143644,58.310402776266564,19.31711625624085,0.0,0.0,6.923737199690624,15.320987853551193,0.0,21.81018658377825,9.788648886514629,0.0,4.164068293044167,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.573,6.4585,6.1403,7.1012
