Unnamed: 0.1,Unnamed: 0,smiles,value
165,165,[*]CC(=S)C(C=C1)=CC=C1C(=S)[*],-5.91
140,140,[*]CC(=O)C(S1)=CC=C1C(=S)[*],-6.0
320,320,[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(S2)=CC=C2[*],-5.83
90,90,[*]CC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],-5.94
351,351,[*]C(F)(F)CC(F)(F)C(=S)[*],-5.2
301,301,[*]NC(=S)NC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],-6.09
39,39,[*]CCOCCOC(=O)O[*],-5.52
56,56,[*]C(S1)=CC=C1OC(S2)=CC=C2O[*],-6.02
370,370,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.38
148,148,[*]CC(=O)CC(C=C1)=CC=C1[*],-6.05
118,118,[*]CC(C=C1)=CC=C1OC(=S)[*],-6.0
116,116,[*]CC(C=C1)=CC=C1NO[*],-5.9
368,368,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.31
57,57,[*]C(S1)=CC=C1OC(=S)O[*],-5.94
22,22,[*]Cc1ccc(C(=O)O[*])cc1,-6.22
31,31,[*]CCCCCOC(=O)O[*],-5.46
82,82,[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.12
155,155,[*]CC(=O)C(=S)O[*],-5.8
318,318,[*]C(=O)NOCCCCO[*],-5.44
73,73,[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)[*],-6.17
30,30,[*]OC(=O)c1ccc(C([*])=O)cc1,-6.57
180,180,[*]CNC(C=C1)=CC=C1C(S2)=CC=C2[*],-6.05
327,327,[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(=S)[*],-5.66
326,326,[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)O[*],-5.92
255,255,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C[*],-6.15
172,172,[*]CC(=S)NC(=S)[*],-5.43
137,137,[*]CC(=O)C(S1)=CC=C1C(S2)=CC=C2[*],-6.12
5,5,[*]CO[*],-5.32
45,45,[*]CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)[*],-5.9
114,114,[*]CC(C=C1)=CC=C1NC(C=C2)=CC=C2[*],-6.15
237,237,[*]NC(S1)=CC=C1C(S2)=CC=C2C[*],-5.92
369,369,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.3
375,375,[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NCCCCCC[*],-5.61
110,110,[*]CC(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.07
381,381,[*]CCC(=O)OC(=O)CC(C=C1)=CC=C1C(C=C2)=CC=C2[*],-6.14
3,3,[*]C(F)C([*])(F)F,-5.11
18,18,[*]CC(=O)O[*],-6.0
94,94,[*]CC(S1)=CC=C1NO[*],-5.66
338,338,[*]C(F)(F)C(F)(F)CO[*],-5.23
291,291,[*]NC(=S)C(=O)O[*],-5.89
63,63,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3[*],-6.22
239,239,[*]NC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.05
353,353,[*]C(F)(F)CC(F)(F)O[*],-5.25
219,219,[*]C(=O)C(S1)=CC=C1OC(=S)[*],-6.17
84,84,[*]CC(S1)=CC=C1C(C=C2)=CC=C2O[*],-6.09
225,225,[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],-6.51
238,238,[*]NC(S1)=CC=C1C(S2)=CC=C2C(=O)[*],-6.22
139,139,[*]CC(=O)C(S1)=CC=C1C(=O)[*],-6.21
312,312,[*]COCOCCCO[*],-5.22
182,182,[*]CNC(C=C1)=CC=C1N[*],-5.93
361,361,[*]C(F)(F)NC(F)(F)N[*],-5.31
363,363,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],-6.3
248,248,[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],-5.99
208,208,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.27
75,75,[*]C(C=C1)=CC=C1C(=S)OC(=S)[*],-6.13
